Test #,Test Type,Oracle,,
M20,Metamorphic,"A2'[0] > A2[0], F2 > 0",=>,Y' >= Y
M21,Metamorphic,"A2'[0] < A2[0], F2 > 0, A2[0] > 0",=>,Y' <= Y
Minimum,,,,
M1,Functional,X[0] > y[0] =>,=>,Y[0] == Z[t]
M2,Functional,X[0] < Y[0] =>,=>,X[0] == Z[t]
M3,Functional,X == 0 || Y == 0,=>,Z[t] = 0
M4,Internal,X > Y,=>,Y[t] == 0
M5,Internal,X > Y,=>,X[t] == X[0]-Y[0]
M6,Internal,X > Y,=>,X[t] + Z[t] = X[0]+ Y[0]
M7,Internal,X < Y,=>,X[t] == 0
M8,Internal,X < Y,=>,Y[t] == Y[0]-X[0]
M9,Internal,X < Y,=>,Y[t] + Z[t] = X[0]+ Y[0]
M10,Metamorphic,X[0] > y[0] && X[0]' > Y[0] =>,=>,Z'[t] = Z[t]
M11,Metamorphic,Y'[0] = X[0] && X'[0] = Y[0] =>,=>,Z'[t] == Z[t]
M12,Metamorphic,Y[0] > X[0] && Y[0]' > X[0] =>,=>,Z'[t] = Z[t]
Maximun,,,,
M1,Functional,X[0] > y[0] =>,=>,X[0] == Z[t]
M2,Functional,X[0] < Y[0] =>,=>,Y[0] == Z[t]
M4,Functional,X == 0,=>,Z[t] = y[0]
M5,Functional,Y == 0 ,=>,Z[t] = X[0]
M6,Internal,No contraints,=>,Y[t] == 0 && X[t] == 0
M7,Internal,X > Y,=>,YP[t] = 0
M8,Internal,X < Y,=>,XP[t] = 0
M9,Metamorphic,Y'[0] = X[0] && X'[0] = Y[0] =>,=>,Z'[t] == Z[t]
M10,Metamorphic,X[0] > y[0] && X[0]' > Y[0] =>,=>,Z'[t] > Z[t]
M11,Metamorphic,Y[0] > X[0] && Y[0]' > X[0] =>,=>,Z'[t] > Z[t]
XY mod 3,,,,
M1,Internal,X[0] == Y[0] mod 3,=>,X[t] == 0 && Y[t] == 0
M2,Functional,X[0] == Y[0] mod 3,=>,V[t] > 0
M3,Internal,X[0] != y[0] mod 3,=>,X[t] > 0 || Y[t] > 0
M4,Functional,X[0] != y[0] mod 3,=>,V[t] == 0
M5,Functional,X[0] mod3  == Y[0] mod 3 ,=>,V[t] > 0
